Track URI,Track Name,Artist Name(s),Album Name,Album Release Date,Popularity,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2gG7E5OZi5D5QLRIctv63z,I'm Your Man,Wham!,The Final,1986-11-25,65,"new romantic,new wave,new wave pop,soft rock",0.756,0.837,2.0,-6.943,1.0,0.051,,0.0,0.0567,0.588,132.146,4.0
spotify:track:2IFl6p0LoIfIZOn5IaxZOO,Sax,Fleur East,"Love, Sax & Flashbacks (Track by Track)",2015-12-03,56,"talent show,uk pop",0.728,0.892,4.0,-5.172,1.0,0.126,0.0144,0.0,0.469,0.826,117.976,4.0
spotify:track:17yReVjsDb7Hlvjqz6jhDm,I Don't Want to Be,Gavin DeGraw,Chariot,2003-01-01,59,"neo mellow,pop rock",0.435,0.887,0.0,-3.934,0.0,0.0846,0.0089,0.0,0.161,0.463,154.451,4.0
spotify:track:6xQgB8a19MYznsChgo2eco,Hot Summer Nights,Night,Night / Long Distance,1979,34,,0.723,0.649,8.0,-7.233,1.0,0.0393,0.335,0.0306,0.838,0.65,121.317,4.0
spotify:track:5tmVLmIPoX8dqjW2oeUi98,Wild Eyes,Darling Brando,Wild Eyes,2020-10-09,17,,0.551,0.74,0.0,-4.397,1.0,0.041,0.0155,0.0,0.187,0.564,129.913,4.0
spotify:track:4y1LsJpmMti1PfRQV9AWWe,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,1983-10-14,84,"dance pop,new wave pop,permanent wave,soft rock",0.71,0.799,6.0,-4.897,1.0,0.0328,0.22,0.000602,0.349,0.725,120.372,4.0
spotify:track:0bBVRsBbgnzW8wmdlD7Apq,Overkill,Men At Work,The Essential Men At Work,1981,41,"album rock,australian rock,classic rock,hard rock,heartland rock,mellow gold,new romantic,new wave,new wave pop,rock,soft rock",0.641,0.816,1.0,-3.963,0.0,0.0285,0.087,0.0,0.116,0.553,139.185,4.0
spotify:track:7m2g1kKuF7Tre2PzjK3Lnh,Can't Get You out of My Head,Kylie Minogue,Fever,2001-10-01,62,"australian dance,australian pop,dance pop,eurodance,new wave pop",0.766,0.563,9.0,-7.516,0.0,0.0339,,0.683,0.115,0.964,126.007,4.0
spotify:track:4osg3vT6sXv6wNxm9Z6ucQ,Rehab,Amy Winehouse,Back To Black,2006-01-01,0,"british soul,neo soul",0.434,0.872,0.0,-2.974,1.0,0.0702,0.0473,1.83e-06,0.396,0.732,71.515,4.0
spotify:track:5h9K3mGdCFECcAXGo3S8Zx,And I'm Telling You I'm Not Going,Dami Im,Dami Im,2013-11-15,15,"australian pop,australian talent show,talent show",0.364,0.433,10.0,-5.381,1.0,0.0425,0.554,0.0,0.131,0.222,123.978,3.0
